original_title;english_title;rating;year;film_poster;genres
In the Name of the Father;In the Name of the Father;8.4;1993;;Biography,Crime,Drama
I Am Sam;I Am Sam;6.6;2001;;Drama
Hannibal;Hannibal;8.6;2013;;Crime,Drama,Horror,Mystery,Thriller
Unforgiven;Unforgiven;8.3;1992;;Drama,Western
American Gangster;American Gangster;7.8;2007;;Biography,Crime,Drama
Reservoir Dogs;Reservoir Dogs;8.5;1992;;Crime,Thriller
Fight Club;Fight Club;8.9;1999;;Drama
Inception;Inception;8.8;2010;;Action,Adventure,Sci-Fi,Thriller
Scent of a Woman;Scent of a Woman;8.1;1992;;Drama
Taken;Taken;7.6;2009;;Action,Crime,Thriller
What Dreams May Come;What Dreams May Come;6.9;1998;;Drama,Fantasy,Romance
The Sixth Sense;The Sixth Sense;8.4;1999;;Drama,Mystery,Thriller
Night on Earth;Night on Earth;7.4;1991;;Comedy,Drama
Sound of Metal;Sound of Metal;8.2;2020;;Drama,Music
Deadpool 2;Deadpool 2;7.6;2018;;Action,Adventure,Comedy,Sci-Fi
The Departed;The Departed;8.7;2006;;Crime,Drama,Thriller
Vertigo;Vertigo;8.6;1958;;Mystery,Romance,Thriller
The Sting;The Sting;8.2;1973;;Comedy,Crime,Drama
The Meaning of Life;The Meaning of Life;8.1;1983;;Comedy,Musical
Roman Holiday;Roman Holiday;8.1;1953;;Comedy,Drama,Romance
Mystic River;Mystic River;8.0;2003;;Crime,Drama,Mystery,Thriller
Apocalypse Now;Apocalypse Now;8.7;1979;;Drama,Mystery,War
The Wolf of Wall Street;The Wolf of Wall Street;8.1;2013;;Biography,Comedy,Crime,Drama
Full Metal Jacket;Full Metal Jacket;8.4;1987;;Drama,War
Ford v Ferrari;Ford v Ferrari;8.3;2019;;Action,Biography,Drama,Sport
Men of Honor;Men of Honor;7.4;2000;;Biography,Drama
The Magnificent Seven;The Magnificent Seven;6.5;2016;;Action,Adventure,Drama,Western
Finding Nemo;Finding Nemo;8.7;2003;;Animation,Adventure,Comedy,Family
Amadeus;Amadeus;8.7;1984;;Biography,Drama,Music
Klaus;Klaus;8.8;2019;;Animation,Adventure,Comedy,Family,Fantasy
Incendies;Incendies;8.2;2011;;Drama,Mystery,War
Blow;Blow;7.3;2001;;Biography,Crime,Drama
Hooligans;Hooligans;7.3;2005;;Crime,Drama,Sport,War
The Apartment;The Apartment;8.7;1960;;Comedy,Drama,Romance
The Incredibles;The Incredibles;8.7;2004;;Animation,Action,Adventure,Family
End of Watch;End of Watch;7.6;2012;;Action,Crime,Drama,Thriller
Amour;Amour;8.1;2012;;Drama
The Exorcist;The Exorcist;8.3;1973;;Horror
Lucky Number Slevin;Lucky Number Slevin;7.6;2006;;Crime,Drama,Thriller
Mary and Max;Mary and Max;8.6;2009;;Animation,Comedy,Drama
The Bridge on the River Kwai;The Bridge on the River Kwai;8.0;1957;;Adventure,Drama,War
North by Northwest;North by Northwest;8.4;1959;;Adventure,Drama,Mystery,Thriller
The Girl with the Dragon Tattoo;The Girl with the Dragon Tattoo;8.0;2011;;Crime,Drama,Mystery,Thriller
Blade Runner;Blade Runner;8.6;1982;;Action,Drama,Sci-Fi,Thriller
Beauty and the Beast;Beauty and the Beast;8.3;1991;;Animation,Family,Fantasy,Musical,Romance
Sin City;Sin City;8.1;2005;;Crime,Thriller
The Grapes of Wrath;The Grapes of Wrath;8.2;1940;;Drama
Chinatown;Chinatown;8.7;1974;;Drama,Mystery,Thriller
Wild Tales;Wild Tales;8.5;2015;;Comedy,Drama,Thriller
Pay It Forward;Pay It Forward;6.7;2000;;Drama
The Blind Side;The Blind Side;7.3;2009;;Biography,Drama,Sport
The Butterfly Effect;The Butterfly Effect;7.8;2004;;Drama,Sci-Fi,Thriller
A Perfect World;A Perfect World;7.8;1993;;Crime,Drama,Thriller
Soul;Soul;8.2;2020;;Animation,Adventure,Comedy,Drama,Family,Fantasy,Music
Metropolis;Metropolis;6.8;2002;;Animation,Adventure,Drama,Sci-Fi
The Bridges of Madison County;The Bridges of Madison County;7.7;1995;;Drama,Romance
The Kid;The Kid;6.2;2019;;Biography,Drama,Western
The General;The General;6.0;1998;;Biography,Crime,Drama,Thriller
The Nightmare Before Christmas;The Nightmare Before Christmas;8.4;1993;;Animation,Family,Fantasy,Musical
Perfect Strangers;Perfect Strangers;5.7;2019;;Comedy
The Prestige;The Prestige;8.7;2006;;Drama,Mystery,Sci-Fi,Thriller
Into the Wild;Into the Wild;8.1;2007;;Adventure,Biography,Drama
Stand by Me;Stand by Me;8.4;1986;;Adventure,Comedy,Drama
There Will Be Blood;There Will Be Blood;8.8;2007;;Drama
The Notebook;The Notebook;7.5;2004;;Drama,Romance
Harry Potter and the Order of the Phoenix;Harry Potter and the Order of the Phoenix;7.6;2007;;Action,Adventure,Family,Fantasy,Mystery
Alien;Alien;8.9;1979;;Horror,Sci-Fi
The Game;The Game;7.7;1997;;Drama,Mystery,Thriller
Tangled;Tangled;8.1;2010;;Animation,Adventure,Comedy,Family,Fantasy,Musical,Romance
Wonder;Wonder;7.6;2017;;Drama,Family
