original_title,english_title,rating,year,film_poster,genres
The Shawshank Redemption,,8.77,1994,https://fwcdn.pl/fpo/10/48/1048/6925401_1.7.webp,Dramat
The Green Mile,,8.6,1999,https://fwcdn.pl/fpo/08/62/862/7517878_1.7.webp,Dramat
Intouchables,,8.6,2011,https://fwcdn.pl/fpo/33/90/583390/7441162_1.7.webp,Biograficzny;Dramat;Komedia
The Godfather,,8.59,1972,https://fwcdn.pl/fpo/10/89/1089/7196615_1.7.webp,Dramat;Gangsterski
12 Angry Men,,8.58,1957,https://fwcdn.pl/fpo/07/01/30701/8094290_1.7.webp,Dramat sądowy
Forrest Gump,,8.52,1994,https://fwcdn.pl/fpo/09/98/998/8021615_1.7.webp,Dramat;Komedia
One Flew Over the Cuckoo's Nest,,8.42,1975,https://fwcdn.pl/fpo/10/19/1019/6974780_1.7.webp,Dramat;Psychologiczny
The Godfather: Part II,,8.38,1974,https://fwcdn.pl/fpo/10/90/1090/7196616_1.7.webp,Dramat;Gangsterski
The Lord of the Rings: The Return of the King,,8.35,2003,https://fwcdn.pl/fpo/18/41/11841/7494142_1.7.webp,Fantasy;Przygodowy
Schindler's List,,8.33,1993,https://fwcdn.pl/fpo/12/11/1211/7876866_1.7.webp,Dramat;Wojenny
Pulp Fiction,,8.31,1994,https://fwcdn.pl/fpo/10/39/1039/7517880_1.7.webp,Gangsterski
La vita è bella,,8.29,1997,https://fwcdn.pl/fpo/02/08/208/7520031_1.7.webp,Dramat;Komedia;Wojenny
The Lord of the Rings: The Two Towers,,8.28,2002,https://fwcdn.pl/fpo/14/51/31451/7877022_1.7.webp,Fantasy;Przygodowy
Se7en,,8.27,1995,https://fwcdn.pl/fpo/07/02/702/8021069_1.7.webp,Kryminał;Thriller
Fight Club,,8.25,1999,https://fwcdn.pl/fpo/08/37/837/7522091_1.7.webp,Thriller;Psychologiczny
Goodfellas,,8.24,1990,https://fwcdn.pl/fpo/10/33/1033/6941458_1.7.webp,Dramat;Gangsterski
The Pianist,,8.23,2002,https://fwcdn.pl/fpo/22/25/32225/7519150_1.7.webp,Biograficzny;Dramat;Wojenny
